graph,variant,ok,runtimeMs,face,angle,tradeoff,objective,stopReason,selectedStage
grid9x9,current,1,6435.473901,0.978423100180065,0.7410258098368723,0.8514909102122206,0.052817984189699095,max-iters,joint
grid9x9,seed->face->angle,1,3686.266527,0.9961634548380609,0.7006323820427285,0.835430651979627,0.08317663062523999,grad-converged,
grid9x9,seed->face->joint,1,3618.906822,0.978423100180065,0.7410258098368723,0.8514909102122206,0.052817984189699095,max-iters,
randomplanar1,current,1,1208.205263,0.557310315483966,0.37051280318210744,0.4544123757472599,2.887081425653609,max-iters,angle
randomplanar1,seed->face->angle,1,903.316175,0.557310315483966,0.37051280318210744,0.4544123757472599,2.887081425653609,max-iters,
randomplanar1,seed->face->joint,1,292.15379,0.3420069665684621,0.31673363118856335,0.32912779951413185,1.848419638415574,max-iters,
randomplanar2,current,1,3578.454677,0.7565765860815906,0.33955439416523525,0.5068519550386843,2.0321272905048846,max-iters,joint
randomplanar2,seed->face->angle,1,2552.779414,0.7619142271507455,0.3353191573072485,0.505454683021724,3.1547066746209325,max-iters,
randomplanar2,seed->face->joint,1,1101.819578,0.7565765860815906,0.33955439416523525,0.5068519550386843,2.0321272905048846,max-iters,
randomplanar3,current,1,2409.234806,0.9229533020481078,0.3205104841735301,0.5438898874855069,2.2182238962846057,max-iters,angle
randomplanar3,seed->face->angle,1,1777.318767,0.9229533020481078,0.3205104841735301,0.5438898874855069,2.2182238962846057,max-iters,
randomplanar3,seed->face->joint,1,674.26379,0.6276382751882338,0.2442156631198944,0.3915087452082281,2.524711616406568,max-iters,
randomplanar4,current,1,4864.703873,0.8851949339429703,0.4006375513442857,0.5955185394236509,2.8210811170867545,max-iters,angle
randomplanar4,seed->face->angle,1,3831.459475,0.8851949339429703,0.4006375513442857,0.5955185394236509,2.8210811170867545,max-iters,
randomplanar4,seed->face->joint,1,1540.519486,0.7081291437777306,0.4251052401698029,0.5486614709790264,1.4879364220717093,max-iters,
randomplanar5,current,1,5670.180286,0.5757771822674075,0.2800052866403986,0.401522919597109,6.738561429465518,max-iters,angle
randomplanar5,seed->face->angle,1,4112.606261,0.5757771822674075,0.2800052866403986,0.401522919597109,6.738561429465518,max-iters,
randomplanar5,seed->face->joint,1,1474.83501,0.49964340585073663,0.2676912116053144,0.36571867423306337,2.35192824499868,max-iters,
